-52.5,-49,-53.5,-53,-49.5
-52,-49.5,-53,-52.5,-49.5
-52,-50,-51.5,-52.5,-50.5
-52,-51,-50.5,-52.5,-51.5
-52,-52,-49.5,-52.5,-52
-52.5,-53.5,-49,-53,-53.5
-53,-53,-49,-53.5,-53.5
-54,-52.5,-49,-53.5,-53
-54,-52,-49.5,-52.5,-52.5
-53,-52,-50.5,-51.5,-52.5
-51.5,-52,-51.5,-50.5,-52.5
-50.5,-52,-52.5,-49.5,-52.5
-49,-52.5,-53.5,-49,-53
-49,-53,-53,-49,-53.5
-49.5,-54,-52,-49.5,-53
-50,-54,-52,-50,-52
-51,-52.5,-52,-50.5,-51
-52,-51.5,-52,-51.5,-50.5
-53.5,-50,-52.5,-52.5,-49
-54,-49,-53,-53.5,-49
-53.5,-49,-53.5,-52.5,-49
-52.5,-49.5,-54,-52,-49.5
-52.5,-50.5,-53.5,-52,-50
-52.5,-51,-52.5,-52,-50.5
-52.5,-52.5,-51,-52,-52
-52.5,-53.5,-50,-52.5,-53
-53,-54,-49,-53,-53.5
-53.5,-53.5,-49,-53.5,-52.5
-53.5,-52.5,-49.5,-54,-52
-52,-52.5,-50.5,-53.5,-52
-51,-52.5,-51.5,-52,-52
-49.5,-52.5,-52.5,-51,-52
-49,-53,-54,-49.5,-52.5
-48.5,-53,-54,-49,-53
-49,-54,-53,-49.5,-54
-49.5,-53,-52.5,-50,-54
-50,-52,-52.5,-51,-53
-51.5,-50.5,-52.5,-51.5,-52
-52.5,-49.5,-52.5,-53,-50.5
-53,-49,-53,-54,-49.5
-52.5,-48.5,-53.5,-53.5,-49
-52,-49,-54,-53,-49.5
-52,-49.5,-53,-52.5,-50
-52,-50.5,-51.5,-52.5,-51
-52,-51.5,-50,-52.5,-52
-52,-52.5,-49.5,-52.5,-53.5
-52.5,-53,-49,-53,-54
-53,-52.5,-48.5,-53.5,-53.5
-53.5,-52,-49,-53.5,-52.5
-52.5,-52,-49.5,-52.5,-52.5
-51,-52,-50.5,-51.5,-52.5
-50,-52,-52,-50,-52.5
-49,-52,-52.5,-49.5,-52.5
-48.5,-52.5,-53,-48.5,-53
-49,-53,-52.5,-48.5,-53.5
-49.5,-53.5,-52,-49,-53.5
-50.5,-52,-52,-50,-52.5
-51,-51,-52,-51,-51
-52,-50,-52,-52,-49.5
-53.5,-49,-52,-52.5,-49
