1,1,1
-57,-56,-56.5
-57,-56.5,-56.5
-57,-56.5,-56
-57.5,-56.5,-56
-57.5,-56.5,-56
-57.5,-57,-56
-58,-57,-56.5
-58,-57,-56.5
-58,-57.5,-56.5
-58.5,-57.5,-56.5
-58.5,-57.5,-57
-58.5,-58,-57
-58,-58,-57
-58.5,-58,-57.5
-58.5,-58.5,-57.5
-59,-58.5,-57.5
-59,-58.5,-58
-59.5,-58,-58
-60,-58.5,-58
-61,-59,-58.5
-61,-59,-58.5
-61.5,-59,-58
-61,-59.5,-58
-61.5,-60.5,-58.5
-61.5,-61,-59
-61,-61.5,-59
-60,-61.5,-59.5
-59.5,-61,-60
-59.5,-61.5,-60.5
-59.5,-61,-61
-59.5,-60.5,-61.5
-59,-60,-61
-59,-59.5,-61.5
-59,-59.5,-61.5
-59,-59.5,-61
-59,-59.5,-60.5
-59,-59,-60
-59,-59,-59.5
-59,-59,-59.5
-59,-59,-59.5
-59.5,-59,-59.5
-59.5,-59,-59
-59.5,-59,-59
-59.5,-59,-59
-59.5,-59,-59
-59.5,-59.5,-59
-59.5,-59.5,-59
-59,-59.5,-59
-58.5,-59.5,-59
-58.5,-59.5,-59.5
-58,-59.5,-59.5
-58,-59.5,-59.5
-58,-59,-59.5
-57.5,-58.5,-59.5
-57,-58.5,-59.5
-56.5,-58,-59.5
-56.5,-58,-59.5
-56,-58,-58.5
-55.5,-57.5,-58.5
-55,-57,-58.5
-55,-56.5,-58
-54.5,-56.5,-58
-54,-56,-58
-54,-55.5,-57
-53.5,-55,-57
-53.5,-54.5,-56.5
-53.5,-54.5,-56.5
-53.5,-54,-56
-53.5,-53.5,-55.5
-53.5,-53.5,-55
-53.5,-53.5,-54.5
-53.5,-53.5,-54
-53,-53.5,-54
-53,-53.5,-53.5
-53,-53.5,-53.5
-53.5,-53.5,-53.5
-53,-53.5,-53.5
-53,-53,-53.5
-53,-53,-53.5
-53,-53.5,-53.5
-53,-53.5,-53.5
-53,-53,-53
-53,-53,-53
-52.5,-53,-53
-52,-53,-53.5
-52,-53,-53
-51.5,-53,-53
-51.5,-53,-53
-51.5,-52.5,-53
-51,-52,-53
-51.5,-52,-53
-51.5,-51.5,-53
-51,-51.5,-52.5
-51,-51,-52.5
-51,-51,-52
-51,-51.5,-51.5
-51.5,-51,-51.5
-51.5,-51,-51.5
-51.5,-51,-51
-51.5,-51,-51.5
-52,-51.5,-51.5
-52,-51.5,-51
-52.5,-51.5,-51
-53.5,-51.5,-51
-54,-51.5,-51
-54.5,-52,-51.5
-54.5,-52,-51.5
-54.5,-53,-51.5
-55,-54,-51.5
-55,-54,-52
-55,-54.5,-52
-55.5,-54.5,-52
-55.5,-54.5,-53
-55.5,-55,-54
-55.5,-55,-54
-55.5,-55,-54.5
-55,-55.5,-54.5
-55,-55.5,-54.5
-55,-55.5,-55
-55.5,-55.5,-55
-56.5,-55,-55.5
-56,-55,-55.5
-56,-55,-55.5
-56,-55.5,-55.5
-56.5,-56,-55.5
-57,-56.5,-55
-57.5,-56,-55
-57,-56,-55
-57.5,-56,-55.5
-58,-56.5,-56
-58,-57,-56.5
-58,-57.5,-56
-58,-57.5,-56
-58,-57.5,-56.5
-58,-58,-57
-58,-58,-57.5
-58.5,-58,-57
-57.5,-58,-57.5
-58,-58,-58
-58,-58,-58
-58,-58.5,-58
-58,-58,-58
-58.5,-57.5,-58
-59,-58,-58
-58.5,-58,-58
-58.5,-58,-58.5
-59,-58,-58
-59,-58.5,-58
-58.5,-59,-58
-58,-58.5,-58
