1,1,1
-63.5,-60,-63
-64,-60,-62.5
-64.5,-60,-62
-64,-60.5,-61.5
-62.5,-61,-61
-61.5,-61.5,-60.5
-60.5,-62,-60
-59.5,-63,-60
-59.5,-64,-60
-59.5,-63.5,-60
-59.5,-64,-60
-60.5,-64,-60
-60.5,-64.5,-60.5
-61,-63.5,-60.5
-61,-62,-61
-61.5,-61,-61.5
-61,-60,-62.5
-61,-59.5,-63.5
-60.5,-59.5,-64
-60,-59.5,-63.5
-59.5,-60,-64
-59,-60.5,-64.5
-59.5,-61,-64
-59.5,-61,-62.5
-60.5,-61.5,-61.5
-61,-61.5,-60.5
-62,-61,-59.5
-62.5,-60.5,-59.5
-62.5,-60.5,-59.5
-63,-59.5,-59.5
-63,-59,-60.5
-63,-59,-60.5
-62.5,-59.5,-61
-62,-60,-61
-61.5,-60.5,-61.5
-61,-61.5,-61
-60.5,-62.5,-61
-59.5,-62.5,-60.5
-59.5,-63,-60
-59,-63,-59.5
-59,-63,-59
-58.5,-62.5,-59.5
-59,-62.5,-59.5
-59,-62,-60.5
-59,-61,-61
-59,-60.5,-62
-59.5,-60,-62.5
-60,-59.5,-62.5
-60.5,-59,-63
-61.5,-59,-63
-62,-58.5,-63
-62.5,-58.5,-62.5
-63,-59,-62
-63,-59,-61.5
-62.5,-59,-61
-62.5,-59,-60.5
-62,-59.5,-59.5
-61.5,-60.5,-59.5
-60.5,-61,-59
-59.5,-62,-59
-59.5,-62.5,-58.5
-59.5,-63,-59
-59.5,-63,-59
-59.5,-63,-59
-60,-62.5,-59
-60,-62,-59.5
-60.5,-61.5,-60
-60.5,-61,-60.5
-59.5,-60,-61.5
-59.5,-59.5,-62
-59,-59.5,-62.5
-59,-59.5,-63
-59.5,-59.5,-63
-60,-59.5,-62.5
-60.5,-60,-62.5
-61,-60.5,-62
-62.5,-60.5,-61.5
-63,-60,-60.5
-63,-59.5,-59.5
-63.5,-59,-59.5
-63.5,-59,-59.5
-63,-59.5,-59.5
-62,-59.5,-59.5
-61,-60,-60
-60,-60.5,-60
-59.5,-61.5,-60.5
-59,-63,-60.5
-58.5,-63,-59.5
-58.5,-63,-59.5
-58.5,-63.5,-59
-59,-63,-59
-59,-62.5,-59.5
-58.5,-61.5,-60
-58.5,-60.5,-60.5
-59,-60,-61
-59.5,-59,-62.5
-60.5,-58.5,-63
-61,-58.5,-63
-61.5,-58.5,-63.5
-62,-58.5,-63.5
-62.5,-59,-63
-63,-59,-62
-63,-58.5,-61
-63.5,-58.5,-60
-63.5,-59,-59.5
-63,-60,-59
-62,-60.5,-58.5
-61.5,-61.5,-58.5
-61,-62,-58.5
-60.5,-62.5,-59
-60,-63,-59
-60.5,-63,-58.5
-60.5,-63,-58.5
-61,-63.5,-59
-61.5,-63.5,-59.5
-61.5,-62.5,-60.5
-61,-62,-61
-61,-61.5,-61.5
-60.5,-60.5,-62
-59.5,-60.5,-62.5
-59,-60,-63
-59,-60.5,-63
-59,-61,-63.5
-59.5,-61.5,-63.5
-60,-61.5,-63
-60.5,-61.5,-62
-61,-61,-61.5
-62,-61,-61
-62.5,-60,-60.5
-63,-59.5,-60
-63,-59,-60.5
-62.5,-59,-60.5
-61.5,-59.5,-61
-61.5,-59.5,-61.5
-61,-60,-61.5
-60,-61,-61
-59,-61.5,-61
-59,-62.5,-60.5
-59,-62.5,-59.5
-58.5,-63,-59
-58,-62.5,-59
-58,-62,-59
-58,-61.5,-59.5
-58.5,-61,-60
-58.5,-60.5,-60.5
-58.5,-59.5,-61
-59,-59,-62
-59,-59,-62.5
-59.5,-58.5,-63
-60.5,-58.5,-63
